houseKey|buildingKey|serviceLocationID|premiseKey|businessKey|billerLocationID|prsimId|addressLine1|addressLine2|streetNumber|addressFraction|preDirectional|streetName|suffix|postDirectional|unitDesignator|unitNumber|unitType2|unitNumber2|city|state|zipCode|zip4|censusBlock|confidence|latitude|longitude|rateCenter|taxGeocode|locationType|serviceabilityCode|serviceabilityFlag|DUNSNumber|dwellType|managementArea|region|tribalLandsIndicator|tentativeServiceDate|constructionMilestone|lotNumber|ruralProjectType|specialInitiativeName|billingControlArea|businessName|NASIC|RDOFIndicator|SIC
93001325610000|119871214|4559719|1051666269|0|93001325610000|NULL|1429 POLI ST APT A| |1429|||POLI|ST||APT|A|NULL|NULL|VENTURA|CA|93001|3256|061110020003006|S8HPNTSCZA|34.281922|-119.278932|VNTRA CNTL CA|51115040|0|NULL|1|NULL|MDU|So Cal North|West|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
91711242700112|107463729|8759290|1073346577|0|91711242700112|NULL|2053 N TOWNE AVE APT 249| |2053||N|TOWNE|AVE||APT|249|NULL|NULL|CLAREMONT|CA|91711|2427|060374017011000|S8HPNTSCZA|34.121259|-117.737227|CLAREMONT CA|50370640|0||1|NULL|MDU|So Cal Central|West|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
8084403|107192233|16440267|1225727140|0|8084403|NULL|437 ROCKY BRANCH RD|LONDON, KY 40744-9382|437|||ROCKY BRANCH|RD||||NULL|NULL|LONDON|KY|40744|9382|211259710012001|S8HPNTSCZA|37.059618|-84.045435|PHILA NY|NULL|0|NULL|1|NULL|SDU|Kentucky|Southern Ohio|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
5790695|105845676|19297867|1233853780|0|5790695|NULL|8106 SMARTY JONES WAY|BAKERSFIELD, CA 93307-5753|8106|||SMARTY JONES|WAY||||NULL|NULL|BAKERSFIELD|CA|93307|5753|060290032025003|S8HPNTSCZA|35.280898|-119.001694|DUBLIN OH|NULL|0|NULL|1|NULL|SDU|Sierra Nevada|Northwest|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
75019390000040|9746991|19477931|109108811|0|75019390000040|NULL|437 COOPER LN| |437|||COOPER|LN||||NULL|NULL|COPPELL|TX|75019|3900|481130141261013|S8HPNTSCZA|32.959360|-97.003287|MARION SC|441139839|0||1|NULL|SDU|North Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
78109196810150|8228626|12842450|110179896|0|78109196810150|NULL|7615 COLD MTN| |7615|||COLD|MTN||||NULL|NULL|CONVERSE|TX|78109|1968|480291316012045|S8HPNTSCZA|29.501395|-98.282922|SANANTONIO TX|440297560|0||1|NULL|SDU|South Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
6224072|123947070|7155908|1234850998|0|6224072|471255|10232 STRAWBERRY TETRA DR|RIVERVIEW, FL 33578-5461|10232|||STRAWBERRY TETRA|DR||||NULL|NULL|RIVERVIEW|FL|33578|5461|120570138061000|S8HPNTSCZA|27.849765|-82.337008|TAMPACEN FL|NULL|0|NULL|1|NULL|SDU|West Central Florida|Florida|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
6234904|1222253|15494925|1205329316|0|6234904|NULL|2560 STATE ROUTE 9 TRLR 138|BALLSTON SPA, NY 12020-4345 43|2560|||STATE ROUTE 9|||TRLR|138|NULL|NULL|BALLSTON SPA|NY|12020|4345|360910619015026|S8HPNTSCZA|42.976971|-73.796453|BROWNSVL TX|NULL|0|NULL|1|NULL|MDU|Eastern NY|Northeast|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
29301557910022|119294484|7936697|1041641588|0|29301557910022|NULL|101 LYTLE ST| |101|||LYTLE|ST||||NULL|NULL|SPARTANBURG|SC|29301|5579|450830219012042|S8HPNTSCZA|34.951750|-82.008163|SPARTANBG SC|410831522|0|NULL|1|NULL|SDU|Greenville, SC / Georgia|South|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
30747720510031|122338074|16046863|1021069123|0|30747720510031|NULL|930 BACK BERRYTON RD| |930|||BACK BERRYTON|RD||||NULL|NULL|SUMMERVILLE|GA|30747|7205|130550104001029|S8HPNTSCZA|34.464718|-85.375902|HONOLULU HI|110550000|0|NULL|1|NULL|SDU|TN / LA / AL|South|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
78221411510117|8106317|18320383|110583572|0|78221411510117|NULL|446 LANIER BLVD| |446|||LANIER|BLVD||||NULL|NULL|SAN ANTONIO|TX|78221|4115|480291517002009|S8HPNTSCZA|29.329380|-98.495210|FORT WORTH TX|440292570|0||1|NULL|SDU|South Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
92397968510007|121056380|12676459|1051445026|0|92397968510007|NULL|3501 STATE HIGHWAY 2| |3501|||STATE HIGHWAY 2|||||NULL|NULL|WRIGHTWOOD|CA|92397|9685|060710091071083|S8HPNTSCZA|34.388177|-117.584678|MARSHALL CA|50710000|0|NULL|1|NULL|SDU|So Cal South|West|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
6392824|2437511|15279240|1205493683|0|6392824|NULL|112 QUEENSBORO MANOR RD|GLOVERSVILLE, NY 12078-6109 61|112|||QUEENSBORO MANOR|RD||||NULL|NULL|GLOVERSVILLE|NY|12078|6109|360359706005029|S8HPNTSCZA|43.079188|-74.340674|NMYRTLEBCH SC|NULL|0|NULL|1|NULL|SDU|Eastern NY|Northeast|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
01609212105073|117252785|15305903|103343652|0|01609212105073|NULL|85 ELM ST #1L| |85|||ELM|ST||APT|1L|NULL|NULL|WORCESTER|MA|01609|2485|250277316004011|S8HPNTSCZA|42.265983|-71.811500|WORCESTER MA|220271190|0|NULL|1|NULL|SDU|Southern New England|Northeast|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
76012324300056|9956903|4646475|1091708288|0|76012324300056|NULL|708 MAGNOLIA ST APT 3| |708|||MAGNOLIA|ST||APT|3|NULL|NULL|ARLINGTON|TX|76012|3243|484391216052010|S8HPNTSCZA|32.743565|-97.120464|ARLINGTON TX|444390120|0||1|NULL|MDU|North Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
54451128910015|121568177|11179103|1012151037|0|54451128910015|NULL|512 N 8TH ST| |512||N|8TH|ST||||NULL|NULL|MEDFORD|WI|54451|1289|551199604002058|S8HPNTSCZA|45.146012|-90.333691|MEDFORD WI|501190640|0|NULL|1|NULL|SDU|Wisconsin|Central|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
1339880|107961263|4013221|1223522672|0|1339880|NULL|108 WINDRIDGE DR|NICHOLASVILLE, KY 40356-8029 00|108|||WINDRIDGE|DR||||NULL|NULL|NICHOLASVILLE|KY|40356|8029|211130606001023|S8HPNTSCZA|37.985095|-84.602253|LEXINGTON KY|NULL|0|NULL|1|NULL|SDU|Kentucky|Southern Ohio|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
93442264710023|121453820|12436337|1051768330|0|93442264710023|NULL|473 KERN AVE| |473|||KERN|AVE||||NULL|NULL|MORRO BAY|CA|93442|2647|060790106022038|S8HPNTSCZA|35.361378|-120.841817|MORRO BAY CA|50792190|0|NULL|1|NULL|SDU|Sierra Nevada|Northwest|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
